市町村コード,都道府県,市区町村
13101,東京都,千代田区
13102,東京都,中央区
13103,東京都,港区
13104,東京都,新宿区
13105,東京都,文京区
13106,東京都,台東区
13107,東京都,墨田区
13108,東京都,江東区
13109,東京都,品川区
13110,東京都,目黒区
13111,東京都,大田区
13112,東京都,世田谷区
13113,東京都,渋谷区
13114,東京都,中野区
13115,東京都,杉並区
13116,東京都,豊島区
13117,東京都,北区
13118,東京都,荒川区
13119,東京都,板橋区
13120,東京都,練馬区
13121,東京都,足立区
13122,東京都,葛飾区
13123,東京都,江戸川区
13201,東京都,八王子市
13202,東京都,立川市
13203,東京都,武蔵野市
13204,東京都,三鷹市
13205,東京都,青梅市
13206,東京都,府中市
13207,東京都,昭島市
13208,東京都,調布市
13209,東京都,町田市
13210,東京都,小金井市
13211,東京都,小平市
13212,東京都,日野市
13213,東京都,東村山市
13214,東京都,国分寺市
13215,東京都,国立市
13218,東京都,福生市
13219,東京都,狛江市
13220,東京都,東大和市
13221,東京都,清瀬市
13222,東京都,東久留米市
13223,東京都,武蔵村山市
13224,東京都,多摩市
13225,東京都,稲城市
13227,東京都,羽村市
13228,東京都,あきる野市
13229,東京都,西東京市
13303,東京都,西多摩郡瑞穂町
13305,東京都,西多摩郡日の出町
13307,東京都,西多摩郡檜原村
13308,東京都,西多摩郡奥多摩町
13361,東京都,大島町
13362,東京都,利島村
13363,東京都,新島村
13364,東京都,神津島村
13381,東京都,三宅島三宅村
13382,東京都,御蔵島村
13401,東京都,八丈島八丈町
13402,東京都,青ヶ島村
13421,東京都,小笠原村
